testId,method,arraySize,subsetSize,repetitionId,beginTestTicks,endTestTicks,elapsedTicks,elapsedMilliseconds
0,heap,10000,79,18,638896093622099078,638896093622130084,31006,3.1006
0,sorting,10000,79,19,638896093622130702,638896093622161648,30946,3.0946
0,heap,10000,79,19,638896093622162461,638896093622193412,30951,3.0951
0,sorting,10000,79,20,638896093622194147,638896093622224438,30291,3.0291
0,heap,10000,79,20,638896093622225135,638896093622255900,30765,3.0765
0,sorting,10000,157,1,638896093622256581,638896093622287316,30735,3.0735
0,heap,10000,157,1,638896093622288572,638896093622319661,31089,3.1089
0,sorting,10000,157,2,638896093622320816,638896093622351755,30939,3.0939
0,heap,10000,157,2,638896093622352915,638896093622383711,30796,3.0796
0,sorting,10000,157,3,638896093622384829,638896093622415512,30683,3.0683
0,heap,10000,157,3,638896093622416846,638896093622450506,33660,3.366
0,sorting,10000,157,4,638896093622452969,638896093622484207,31238,3.1238
0,heap,10000,157,4,638896093622486119,638896093622519139,33020,3.302
0,sorting,10000,157,5,638896093622520944,638896093622554028,33084,3.3084
0,heap,10000,157,5,638896093622555844,638896093622586787,30943,3.0943
0,sorting,10000,157,6,638896093622588092,638896093622618993,30901,3.0901
0,heap,10000,157,6,638896093622620134,638896093622651102,30968,3.0968
0,sorting,10000,157,7,638896093622652336,638896093622683255,30919,3.0919
0,heap,10000,157,7,638896093622684695,638896093622715770,31075,3.1075
0,sorting,10000,157,8,638896093622717152,638896093622748073,30921,3.0921
0,heap,10000,157,8,638896093622749347,638896093622780188,30841,3.0841
0,sorting,10000,157,9,638896093622781405,638896093622812384,30979,3.0979
0,heap,10000,157,9,638896093622813575,638896093622844062,30487,3.0487
0,sorting,10000,157,10,638896093622845232,638896093622876200,30968,3.0968
0,heap,10000,157,10,638896093622877354,638896093622907958,30604,3.0604
0,sorting,10000,157,11,638896093622909116,638896093622940040,30924,3.0924
0,heap,10000,157,11,638896093622941488,638896093622974522,33034,3.3034
0,sorting,10000,157,12,638896093622976230,638896093623009052,32822,3.2822
0,heap,10000,157,12,638896093623011014,638896093623043920,32906,3.2906
0,sorting,10000,157,13,638896093623045742,638896093623076437,30695,3.0695
0,heap,10000,157,13,638896093623077661,638896093623108582,30921,3.0921
0,sorting,10000,157,14,638896093623109759,638896093623140553,30794,3.0794
0,heap,10000,157,14,638896093623141669,638896093623172281,30612,3.0612
0,sorting,10000,157,15,638896093623173405,638896093623203884,30479,3.0479
0,heap,10000,157,15,638896093623204937,638896093623235982,31045,3.1045
0,sorting,10000,157,16,638896093623237109,638896093623268035,30926,3.0926
0,heap,10000,157,16,638896093623269173,638896093623300079,30906,3.0906
0,sorting,10000,157,17,638896093623301191,638896093623332078,30887,3.0887
0,heap,10000,157,17,638896093623333176,638896093623364566,31390,3.139
0,sorting,10000,157,18,638896093623370105,638896093623400609,30504,3.0504
0,heap,10000,157,18,638896093623402409,638896093623432911,30502,3.0502
0,sorting,10000,157,19,638896093623434195,638896093623466726,32531,3.2531
0,heap,10000,157,19,638896093623468579,638896093623499094,30515,3.0515
0,sorting,10000,157,20,638896093623500456,638896093623533984,33528,3.3528
0,heap,10000,157,20,638896093623535902,638896093623566615,30713,3.0713
